State,Period,Visitor Arrival 
Northern Territory,Feb 2021,0.05
Northern Territory,Mar 2021,0.36
Northern Territory,Apr 2021,0.13
Northern Territory,May 2021,0.24
Northern Territory,Jun 2021,0.33
Northern Territory,Jul 2021,0.34
Northern Territory,Aug 2021,0.39
Northern Territory,Sep 2021,0.70
Northern Territory,Oct 2021,0.19
Northern Territory,Nov 2021,0.24
Northern Territory,Dec 2021,0.34
Northern Territory,Jan 2022,0.40
Northern Territory,Feb 2022,1.00
Northern Territory,Mar 2022,0.69
Northern Territory,Apr 2022,1.43
Northern Territory,May 2022,2.00
Northern Territory,Jun 2022,1.75
Northern Territory,Jul 2022,3.21
Northern Territory,Aug 2022,5.56
Northern Territory,Sep 2022,3.86
Northern Territory,Oct 2022,2.56
Northern Territory,Nov 2022,2.95
Northern Territory,Dec 2022,2.57
Northern Territory,Jan 2023,2.26
Northern Territory,Feb 2023,2.83
Northern Territory,Mar 2023,4.00
Northern Territory,Apr 2023,3.93
Northern Territory,May 2023,3.86
Northern Territory,Jun 2023,4.97
Northern Territory,Jul 2023,5.52
Northern Territory,Aug 2023,4.96
Northern Territory,Sep 2023,4.11
Northern Territory,Oct 2023,3.65
Northern Territory,Nov 2023,2.93
Northern Territory,Dec 2023,3.00
Northern Territory,Jan 2024,2.51
Northern Territory,Feb 2024,3.38
Northern Territory,Mar 2024,3.58
Northern Territory,Apr 2024,4.12
Northern Territory,May 2024,4.54
Northern Territory,Jun 2024,5.12
Northern Territory,Jul 2024,6.74
Queensland,Jul 2014,158.60
Queensland,Aug 2014,147.50
Queensland,Sep 2014,132.02
Queensland,Oct 2014,145.29
Queensland,Nov 2014,127.14
Queensland,Dec 2014,162.02
Queensland,Jan 2015,106.81
Queensland,Feb 2015,136.82
Queensland,Mar 2015,133.50
Queensland,Apr 2015,118.72
Queensland,May 2015,111.29
Queensland,Jun 2015,120.41
Queensland,Jul 2015,174.46
Queensland,Aug 2015,146.49
Queensland,Sep 2015,146.07
Queensland,Oct 2015,151.54
Queensland,Nov 2015,141.97
Queensland,Dec 2015,176.14
Queensland,Jan 2016,123.61
Queensland,Feb 2016,148.24
Queensland,Mar 2016,153.12
Queensland,Apr 2016,131.91
Queensland,May 2016,122.98
Queensland,Jun 2016,136.35
Queensland,Jul 2016,184.90
Queensland,Aug 2016,161.53
Queensland,Sep 2016,163.71
Queensland,Oct 2016,169.25
Queensland,Nov 2016,145.22
Queensland,Dec 2016,185.36
Queensland,Jan 2017,133.54
Queensland,Feb 2017,141.68
Queensland,Mar 2017,152.56
Queensland,Apr 2017,144.47
Queensland,May 2017,128.36
Queensland,Jun 2017,139.92
Queensland,Jul 2017,194.86
Queensland,Aug 2017,172.14
Queensland,Sep 2017,158.14
Queensland,Oct 2017,171.11
Queensland,Nov 2017,154.57
Queensland,Dec 2017,196.80
Queensland,Jan 2018,139.38
Queensland,Feb 2018,168.50
Queensland,Mar 2018,173.80
Queensland,Apr 2018,144.96
Queensland,May 2018,135.66
Queensland,Jun 2018,156.16
Queensland,Jul 2018,206.47
Queensland,Aug 2018,191.63
Queensland,Sep 2018,169.09
Queensland,Oct 2018,169.30
Queensland,Nov 2018,153.53
Queensland,Dec 2018,204.53
Queensland,Jan 2019,141.46
Queensland,Feb 2019,165.28
Queensland,Mar 2019,166.42
Queensland,Apr 2019,148.81
Queensland,May 2019,144.29
Queensland,Jun 2019,156.51
Queensland,Jul 2019,206.91
Queensland,Aug 2019,194.20
Queensland,Sep 2019,160.01
Queensland,Oct 2019,169.72
Queensland,Nov 2019,166.02
Queensland,Dec 2019,212.05
Queensland,Jan 2020,148.73
Queensland,Feb 2020,131.35
Queensland,Mar 2020,62.11
Queensland,Apr 2020,0.64
Queensland,May 2020,0.64
Queensland,Jun 2020,1.32
Queensland,Jul 2020,0.92
Queensland,Aug 2020,0.60
Queensland,Sep 2020,0.73
Queensland,Oct 2020,0.99
Queensland,Nov 2020,1.13
Queensland,Dec 2020,1.10
Queensland,Jan 2021,1.50
Queensland,Feb 2021,1.41
Queensland,Mar 2021,1.37
Queensland,Apr 2021,5.10
