State,Year,TemporaryStudentVisaTYpe,Value
Northern Territory,2008,Vocational Educ. & Training,220
Northern Territory,2008,Schools,200
Northern Territory,2008,Independent ELICOS(f),70
Northern Territory,2008,Postgraduate Research,100
Northern Territory,2008,Other Students,170
Northern Territory,2009,Higher Education,960
Northern Territory,2009,Vocational Educ. & Training,290
Northern Territory,2009,Schools,170
Northern Territory,2009,Independent ELICOS(f),90
Northern Territory,2009,Postgraduate Research,50
Northern Territory,2009,Other Students,290
Northern Territory,2010,Higher Education,740
Northern Territory,2010,Vocational Educ. & Training,260
Northern Territory,2010,Schools,170
Northern Territory,2010,Independent ELICOS(f),80
Northern Territory,2010,Postgraduate Research,100
Northern Territory,2010,Other Students,180
Northern Territory,2011,Higher Education,1440
Northern Territory,2011,Vocational Educ. & Training,480
Northern Territory,2011,Schools,160
Northern Territory,2011,Independent ELICOS(f),110
Northern Territory,2011,Postgraduate Research,130
Northern Territory,2011,Other Students,260
Northern Territory,2012,Higher Education,1500
Northern Territory,2012,Vocational Educ. & Training,330
Northern Territory,2012,Schools,160
Northern Territory,2012,Independent ELICOS(f),70
Northern Territory,2012,Postgraduate Research,190
Northern Territory,2012,Other Students,200
Northern Territory,2013,Higher Education,1930
Northern Territory,2013,Vocational Educ. & Training,500
Northern Territory,2013,Schools,210
Northern Territory,2013,Independent ELICOS(f),70
Northern Territory,2013,Postgraduate Research,240
Northern Territory,2013,Other Students,410
Northern Territory,2014,Higher Education,1860
Northern Territory,2014,Vocational Educ. & Training,450
Northern Territory,2014,Schools,310
Northern Territory,2014,Independent ELICOS(f),130
Northern Territory,2014,Postgraduate Research,360
Northern Territory,2014,Other Students,470
Northern Territory,2015,Higher Education,1950
Northern Territory,2015,Vocational Educ. & Training,550
Northern Territory,2015,Schools,200
Northern Territory,2015,Independent ELICOS(f),80
Northern Territory,2015,Postgraduate Research,240
Northern Territory,2015,Other Students,530
Northern Territory,2016,Higher Education,2070
Northern Territory,2016,Vocational Educ. & Training,600
Northern Territory,2016,Schools,210
Northern Territory,2016,Independent ELICOS(f),110
Northern Territory,2016,Postgraduate Research,180
Northern Territory,2016,Other Students,510
Northern Territory,2017,Higher Education,1710
Northern Territory,2017,Vocational Educ. & Training,450
Northern Territory,2017,Schools,280
Northern Territory,2017,Independent ELICOS(f),90
Northern Territory,2017,Postgraduate Research,220
Northern Territory,2017,Other Students,350
Northern Territory,2018,Higher Education,1350
Northern Territory,2018,Vocational Educ. & Training,390
Northern Territory,2018,Schools,240
Northern Territory,2018,Independent ELICOS(f),50
Northern Territory,2018,Postgraduate Research,190
Northern Territory,2018,Other Students,130
Northern Territory,2019,Higher Education,1540
Northern Territory,2019,Vocational Educ. & Training,590
Northern Territory,2019,Schools,200
Northern Territory,2019,Independent ELICOS(f),120
Northern Territory,2019,Postgraduate Research,140
Northern Territory,2019,Other Students,130
Northern Territory,2020,Higher Education,640
Northern Territory,2020,Vocational Educ. & Training,270
Northern Territory,2020,Schools,70
Northern Territory,2020,Independent ELICOS(f),10
Northern Territory,2020,Postgraduate Research,50
Northern Territory,2020,Other Students,40
Northern Territory,2021,Higher Education,90
Northern Territory,2021,Vocational Educ. & Training,40
Northern Territory,2021,Schools,0
Northern Territory,2021,Independent ELICOS(f),0
Northern Territory,2021,Postgraduate Research,10
Northern Territory,2021,Other Students,40
Northern Territory,2022,Higher Education,1110
Northern Territory,2022,Vocational Educ. & Training,470
Northern Territory,2022,Schools,50
Northern Territory,2022,Independent ELICOS(f),40
Northern Territory,2022,Postgraduate Research,100
Northern Territory,2022,Other Students,50
Northern Territory,2023,Higher Education,2520
Northern Territory,2023,Vocational Educ. & Training,650
Northern Territory,2023,Schools,80
Northern Territory,2023,Independent ELICOS(f),110
Northern Territory,2023,Postgraduate Research,180
Northern Territory,2023,Other Students,60
Northern Territory,2024,Higher Education,1230
Northern Territory,2024,Vocational Educ. & Training,340
Northern Territory,2024,Schools,60
Northern Territory,2024,Independent ELICOS(f),40
Northern Territory,2024,Postgraduate Research,100
Northern Territory,2024,Other Students,10
Queensland,2005,Higher Education,23230
Queensland,2005,Vocational Educ. & Training,3800
Queensland,2005,Schools,6950
Queensland,2005,Independent ELICOS(f),7520
Queensland,2005,Postgraduate Research,3370
Queensland,2005,Other Students,7160
Queensland,2006,Higher Education,26210
Queensland,2006,Vocational Educ. & Training,4380
Queensland,2006,Schools,6970
Queensland,2006,Independent ELICOS(f),8790
Queensland,2006,Postgraduate Research,1850
